页码,评论id,评论发布时间,评论点赞数,评论发布ip,评论,评论用户名
1,7320613082232521472,1704467995,149,浙江,《可惜没如果》MV是杨颖演技巅峰,是非对错就让它随风忘了所有
1,7313728503382623010,1702860121,712,云南,我第一次听这个歌词的时候：哭惨了，第一次听《愿与愁》也是，哭到颤抖,下一站·零卡糖轻茶饮(易门店)
1,7328797106587288339,1706374607,0,福建,为什么现在看到林俊杰，我的脑海中会有一种舞蹈。,·丠丠。
1,7320577308519170851,1704460029,120,河北,这个哼唱 是先谱曲 然后填的词嘛？,故事的结局重要吗
1,7323594238070752040,1705162117,101,广东,以前以为丁真不会说普通话，现在看到这个视频，原来他是jj,🌈一口一个人类
1,7328272409294242623,1706250017,0,河南,唯一还在听的JJ的歌 [给力],YL
1,7320420361354462006,1704420324,175,陕西,还是交换余生永远第一,猛踹瘸子那条好腿🦵🏻³⁹⁸⁰
1,7320329841810244402,1704397151,292,广东,可惜没如果 排在我喜欢jj的top3里！特别当年的mv我觉得能封神,Boris。
1,7320253732414456615,1704382882,236,广东,以前的作词跟现在一对比，后无来者 [捂脸],当债主来敲门
1,7320534596868621065,1704449273,140,福建,这首歌的MV我记得还是在跑男邀请的杨颖,Forties
1,7320547104283738880,1704452028,50,广东,呗鼻现在就应该会哭着唱《可惜没如果》,DK
1,7320618078126064423,1704466358,7,辽宁,对我来讲，林俊杰最好的词 《孤独娱乐》，没有之一。结合口罩那三年来听。,xxxin
1,7320429602835415871,1704420342,50,广东,可惜没如果永远排在我歌单top3,💪🏼-'Relax-📷
1,7320623904379618074,1704471212,4,广东,可惜没如果.林俊杰的天花板.,玺玺_RUKI_LUO
1,7320443964162753290,1704423687,83,北京,这个视频快看不到了,刘子豪
1,7322666292862305024,1704945927,5,河南,"原谅我第一次听可惜没如果是嗨的
那时候才小学，只听懂了间奏小提琴的欢悦感",海南礦工-qio
1,7317564086946005814,1703753162,49,辽宁,他是喉咙唱歌？,小枫睡不着
1,7319902649208898330,1704297652,18,上海,作曲真的太强了[泣不成声],PoPul💫
1,7328311092491993856,1706259822,1,江西,我问你会不会弹钢琴？九号 [流泪]  [流泪]  [流泪],风之旅人
1,7323909239616389922,1705234499,2,广东,可惜没如果 可惜 可惜我们,老王很
